date;gain;minOuverture;minFermeture;isSl;isTp
17/10/8;-30.00;0;674;1;0
20/10/8;267.01;0;443;0;1
21/10/8;-30.00;0;195;1;0
22/10/8;-30.00;0;208;1;0
23/10/8;-30.00;0;194;1;0
24/10/8;-30.00;0;191;1;0
27/10/8;-30.00;0;251;1;0
28/10/8;-30.00;0;248;1;0
29/10/8;-30.00;0;250;1;0
30/10/8;285.90;0;330;0;1
31/10/8;-30.00;0;266;1;0
3/11/8;-30.00;0;247;1;0
4/11/8;-30.00;0;202;1;0
5/11/8;-30.00;0;183;1;0
6/11/8;-30.00;0;191;1;0
7/11/8;-30.00;0;183;1;0
10/11/8;-30.00;0;207;1;0
